seed,round,station,method,episode,epsilon,reward
11,1,campus,federated_q,0,0.8,-20.322285885756667
11,1,campus,local_q,0,0.8,-20.322285885756667
11,1,campus,pooled_q,0,0.8,-20.322285885756667
11,1,campus,federated_q,1,0.8,-37.810767133460644
11,1,campus,local_q,1,0.8,-37.810767133460644
11,1,campus,pooled_q,1,0.8,-37.810767133460644
11,1,campus,federated_q,2,0.8,-39.25595064432651
11,1,campus,local_q,2,0.8,-39.25595064432651
11,1,campus,pooled_q,2,0.8,-39.25595064432651
11,1,campus,federated_q,3,0.8,-44.550706788409684
11,1,campus,local_q,3,0.8,-44.550706788409684
11,1,campus,pooled_q,3,0.8,-44.550706788409684
11,1,commuter,federated_q,0,0.8,-111.30696819350416
11,1,commuter,local_q,0,0.8,-111.30696819350416
11,1,commuter,pooled_q,0,0.8,-111.30696819350416
11,1,commuter,federated_q,1,0.8,-99.86484464344174
11,1,commuter,local_q,1,0.8,-99.86484464344174
11,1,commuter,pooled_q,1,0.8,-99.86484464344174
11,1,commuter,federated_q,2,0.8,-94.10055417479319
11,1,commuter,local_q,2,0.8,-94.10055417479319
11,1,commuter,pooled_q,2,0.8,-94.10055417479319
11,1,commuter,federated_q,3,0.8,-105.14064716033133
11,1,commuter,local_q,3,0.8,-105.14064716033133
11,1,commuter,pooled_q,3,0.8,-105.14064716033133
11,1,mixed_use,federated_q,0,0.8,-106.41186628286763
11,1,mixed_use,local_q,0,0.8,-106.41186628286763
11,1,mixed_use,pooled_q,0,0.8,-104.93541867563559
11,1,mixed_use,federated_q,1,0.8,-116.98285484193734
11,1,mixed_use,local_q,1,0.8,-116.98285484193734
11,1,mixed_use,pooled_q,1,0.8,-112.32916485761172
11,1,mixed_use,federated_q,2,0.8,-107.39577252099504
11,1,mixed_use,local_q,2,0.8,-107.39577252099504
11,1,mixed_use,pooled_q,2,0.8,-98.6531896242987
11,1,mixed_use,federated_q,3,0.8,-104.82700708625403
11,1,mixed_use,local_q,3,0.8,-104.82700708625403
11,1,mixed_use,pooled_q,3,0.8,-108.41265803661034
11,2,campus,federated_q,4,0.7200000000000001,-38.982545978365366
11,2,campus,local_q,4,0.7200000000000001,-38.011123760929465
11,2,campus,pooled_q,4,0.7200000000000001,-36.45275892823073
11,2,campus,federated_q,5,0.7200000000000001,-35.239174644423464
11,2,campus,local_q,5,0.7200000000000001,-35.23917464442346
11,2,campus,pooled_q,5,0.7200000000000001,-36.88805930229077
11,2,campus,federated_q,6,0.7200000000000001,-24.17790231021992
11,2,campus,local_q,6,0.7200000000000001,-25.70908298502013
11,2,campus,pooled_q,6,0.7200000000000001,-22.009871952582923
11,2,campus,federated_q,7,0.7200000000000001,-29.563417493478468
11,2,campus,local_q,7,0.7200000000000001,-24.177542884999678
11,2,campus,pooled_q,7,0.7200000000000001,-27.990094283466846
11,2,commuter,federated_q,4,0.7200000000000001,-112.58792172033051
11,2,commuter,local_q,4,0.7200000000000001,-114.42542172033052
11,2,commuter,pooled_q,4,0.7200000000000001,-114.42542172033052
11,2,commuter,federated_q,5,0.7200000000000001,-103.64811749351489
11,2,commuter,local_q,5,0.7200000000000001,-108.84561749351488
11,2,commuter,pooled_q,5,0.7200000000000001,-100.18311749351489
11,2,commuter,federated_q,6,0.7200000000000001,-94.25348043534555
11,2,commuter,local_q,6,0.7200000000000001,-94.36159280294297
11,2,commuter,pooled_q,6,0.7200000000000001,-92.52098043534556
11,2,commuter,federated_q,7,0.7200000000000001,-106.1879498488698
