seed,station,episode,scenario_seed,method,reward,cost_usd,delivered_kwh,unmet_kwh,demand_kwh,fulfillment,completion_rate,solar_fraction,peak_grid_kw
11,campus,0,fedcharge-v1/11/evaluation/0/0,fcfs,-8.77009425740556,2.4797192073055365,21.078912780457834,6.842321957639465,27.9212347380973,0.7549419994559403,0.675,0.32474908704683136,1.5
11,campus,0,fedcharge-v1/11/evaluation/0/0,edf,0.35414107655975213,3.178526934983815,23.043521392786552,4.877713345310746,27.9212347380973,0.8253045257108447,0.625,0.2970621358043094,1.5
11,campus,0,fedcharge-v1/11/evaluation/0/0,shortest_remaining,-11.675086796245573,2.3770111756732613,20.477372666363376,7.443862071733922,27.9212347380973,0.733397819202562,0.675,0.33428886571165534,1.5
11,campus,0,fedcharge-v1/11/evaluation/0/0,solar_only,-77.45815054542186,0.0,6.845357681393468,21.07587705670383,27.9212347380973,0.2451667250966261,0.025,1.0,0.0
11,campus,0,fedcharge-v1/11/evaluation/0/0,federated_q,-7.402450494924328,2.9360354946297003,21.443704790418913,6.477529947678384,27.9212347380973,0.7680070380684103,0.55,0.2971681520405926,1.5
11,campus,0,fedcharge-v1/11/evaluation/0/0,local_q,-21.831775748487406,2.121492920409211,18.394931224862198,9.5263035132351,27.9212347380973,0.6588151060441149,0.525,0.3472175287665811,1.5
11,campus,0,fedcharge-v1/11/evaluation/0/0,pooled_q,-6.724986033442143,2.600364083087156,21.51206340040684,6.409171337690456,27.9212347380973,0.7704553040791772,0.5,0.3136028096977892,1.5
11,campus,1,fedcharge-v1/11/evaluation/0/1,fcfs,-17.41036198307708,2.6100769048082215,19.903118295681658,8.675850843487629,28.57896913916929,0.6964253398630524,0.525,0.22713193262987635,1.5000000000000002
11,campus,1,fedcharge-v1/11/evaluation/0/1,edf,-12.958014344118002,2.857352301772889,20.843042902866408,7.73592623630288,28.57896913916929,0.7293140211380017,0.4,0.222120636903448,1.5
11,campus,1,fedcharge-v1/11/evaluation/0/1,shortest_remaining,-22.073645853411968,2.3960229807944646,18.92765073681193,9.651318402357358,28.57896913916929,0.6622929835096951,0.625,0.244598235088227,1.5
11,campus,1,fedcharge-v1/11/evaluation/0/1,solar_only,-90.66437616215514,0.0,4.7303000789044045,23.848669060264886,28.57896913916929,0.1655168195839936,0.025,1.0,0.0
11,campus,1,fedcharge-v1/11/evaluation/0/1,federated_q,-24.750334723512974,2.559521583408901,18.425012683314613,10.153956455854672,28.57896913916929,0.6447052933781984,0.275,0.21917167850095431,1.5
11,campus,1,fedcharge-v1/11/evaluation/0/1,local_q,-37.01849854617887,2.005822858375041,15.860640173774664,12.718328965394623,28.57896913916929,0.5549759369044789,0.375,0.25333330876993426,1.5
11,campus,1,fedcharge-v1/11/evaluation/0/1,pooled_q,-24.462499721742237,2.3354919151043694,18.437773750007857,10.14119538916143,28.57896913916929,0.645151812867096,0.3,0.23703888590083788,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,fcfs,-9.389620007562039,2.9616294031960435,21.634203566548717,7.015548542728678,28.649752109277397,0.7551270769823905,0.65,0.24916877490798886,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,edf,0.40046533299562237,3.729408132319539,23.745776380484948,4.903975728792447,28.649752109277397,0.8288300816674627,0.525,0.22728074203564808,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,shortest_remaining,-13.253249815816071,2.715188301282359,20.812189384515175,7.837562724762222,28.649752109277397,0.726435234243292,0.7,0.25380056432418235,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,solar_only,-87.61422005726368,0.0,5.396957675969184,23.252794433308214,28.649752109277397,0.1883771159828477,0.025,1.0,0.0
11,campus,2,fedcharge-v1/11/evaluation/0/2,federated_q,-7.520283213402671,3.4588514247624427,22.10751532969387,6.542236779583525,28.649752109277397,0.7716477003141325,0.475,0.22954880849611517,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,local_q,-21.521771029709196,2.6844525996458493,19.152338001409248,9.497414107868149,28.649752109277397,0.6684992571090106,0.525,0.2496274271240939,1.5000000000000002
11,campus,2,fedcharge-v1/11/evaluation/0/2,pooled_q,-9.690406762317512,2.8977988948563276,21.56128011392968,7.088471995347716,28.649752109277397,0.7525817337507671,0.45,0.250307850343379,1.5000000000000002
