method,slot,delivered_kwh,solar_kwh,grid_kwh,cost_usd,missed_kwh,reward,action
edf,51,0.5205254855946552,0.21978790787771957,0.3007375777169356,0.054132763989048406,0.17878765643840402,-0.24875790414800936,edf
edf,52,0.525,0.21645799622711454,0.3085420037728855,0.055537560679119385,0.32088119539732474,-0.8140623422684183,edf
edf,53,0.525,0.21220117820542878,0.31279882179457125,0.05630378792302282,0.0,0.4686962120769772,edf
edf,54,0.525,0.2070356821609499,0.3179643178390501,0.057233577211029014,0,0.467766422788971,edf
edf,55,0.525,0.2009836275407616,0.3240163724592384,0.058322947042662915,0.8429935705401517,-2.9052972292032697,edf
edf,56,0.4777494399050788,0.19407093017187596,0.28367850973320285,0.05106213175197651,0.2492045285564827,-0.5701308060728285,edf
edf,57,0.525,0.18632719128568304,0.338672808714317,0.060961105568577055,0,0.464038894431423,edf
edf,58,0.525,0.1777855707609341,0.3472144292390659,0.06249859726303186,0,0.46250140273696816,edf
edf,59,0.4420834810175154,0.1684826451280494,0.273600835889466,0.049248150460103876,0.10476377912536666,-0.026219785944055163,edf
edf,60,0.47191291182353534,0.15845825094280017,0.31345466088073515,0.056421838958532325,0.0,0.41549107286500303,edf
edf,61,0.5227553142000606,0.1477553142000606,0.375,0.0675,0.0,0.4552553142000606,edf
edf,62,0.5114196665181079,0.1364196665181079,0.375,0.0675,0.4735565537638218,-1.450306548537179,edf
edf,63,0.4994998488805964,0.12449984888059643,0.375,0.0675,0.7908547930926548,-2.731419323490023,edf
edf,64,0.48704690377661364,0.11204690377661361,0.375,0.14250000000000002,0.5710139961790329,-1.9395090809395181,edf
edf,65,0.43792938657433766,0.09911415662890592,0.33881522994543173,0.12874978737926407,0.0,0.3091795991950736,edf
edf,66,0.46075698744623095,0.08575698744623092,0.375,0.14250000000000002,0,0.31825698744623093,edf
edf,67,0.447032593677659,0.072032593677659,0.375,0.14250000000000002,0.40571809852409957,-1.3183398004187392,edf
edf,68,0.3310644813213951,0.0579997452843144,0.2730647360370807,0.10376459969409067,0.360075660674562,-1.2130027610709435,edf
edf,69,0.175,0.04371853307737936,0.13128146692262063,0.04988695743059584,0,0.12511304256940414,edf
edf,70,0.09200417109956532,0.02925011140001588,0.06275405969954945,0.02384654268582879,0,0.06815762841373653,edf
edf,71,0.0875,0.014656436255078545,0.07284356374492144,0.02768055422307015,0,0.059819445776929846,edf
edf,72,0.0875,2.7443576412880273e-17,0.08749999999999997,0.03324999999999999,0.0,0.05425000000000001,edf
edf,73,0.0875,0.0,0.0875,0.033249999999999995,0,0.05425,edf
edf,74,0.06382823375569,0.0,0.06382823375569,0.0242547288271622,0,0.03957350492852779,edf
edf,75,0.0,0.0,0.0,0.0,0,0.0,edf
edf,76,0.0,0.0,0.0,0.0,0.0,0.0,edf
edf,77,0.0,0.0,0.0,0.0,0,0.0,edf
edf,78,0.0,0.0,0.0,0.0,0,0.0,edf
edf,79,0.0,0.0,0.0,0.0,0.0,0.0,edf
edf,80,0.0,0.0,0.0,0.0,0,0.0,edf
edf,81,0.0,0.0,0.0,0.0,0,0.0,edf
edf,82,0.0,0.0,0.0,0.0,0,0.0,edf
edf,83,0.0,0.0,0.0,0.0,0,0.0,edf
edf,84,0.0,0.0,0.0,0.0,0.0,0.0,edf
edf,85,0.0,0.0,0.0,0.0,0,0.0,edf
edf,86,0.0,0.0,0.0,0.0,0,0.0,edf
edf,87,0.0,0.0,0.0,0.0,0,0.0,edf
edf,88,0.0,0.0,0.0,0.0,0,0.0,edf
edf,89,0.0,0.0,0.0,0.0,0,0.0,edf
edf,90,0.0,0.0,0.0,0.0,0,0.0,edf
edf,91,0.0,0.0,0.0,0.0,0,0.0,edf
edf,92,0.0,0.0,0.0,0.0,0,0.0,edf
edf,93,0.0,0.0,0.0,0.0,0,0.0,edf
edf,94,0.0,0.0,0.0,0.0,0,0.0,edf
edf,95,0.0,0.0,0.0,0.0,0,0.0,edf
shortest_remaining,0,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,1,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
